,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,aftercook-24,2025-12-24T16:04:44.000,200.0,200.0,86.0,73.0,156.0,88.0,20.0
2,aftercook-24,2025-12-24T16:05:44.000,200.0,200.0,86.0,69.0,147.0,83.0,19.0
3,aftercook-24,2025-12-24T16:06:44.000,200.0,200.0,86.0,107.0,245.0,132.0,20.0
4,aftercook-24,2025-12-24T16:07:44.000,200.0,200.0,86.0,113.0,258.0,139.0,20.0
5,aftercook-24,2025-12-24T16:08:44.000,200.0,200.0,87.0,112.0,256.0,137.0,19.0
6,aftercook-24,2025-12-24T16:09:44.000,200.0,200.0,87.0,103.0,234.0,126.0,19.0
7,aftercook-24,2025-12-24T16:10:44.000,200.0,200.0,87.0,100.0,226.0,123.0,19.0
8,aftercook-24,2025-12-24T16:11:44.000,200.0,200.0,87.0,92.0,206.0,112.0,19.0
9,aftercook-24,2025-12-24T16:12:44.000,200.0,200.0,87.0,87.0,191.0,105.0,19.0
10,aftercook-24,2025-12-24T16:13:44.000,200.0,200.0,87.0,83.0,183.0,101.0,19.0
11,aftercook-24,2025-12-24T16:14:44.000,200.0,200.0,88.0,78.0,170.0,94.0,19.0
12,aftercook-24,2025-12-24T16:15:44.000,200.0,200.0,88.0,72.0,155.0,87.0,19.0
13,aftercook-24,2025-12-24T16:16:44.000,200.0,200.0,88.0,70.0,148.0,84.0,19.0
14,aftercook-24,2025-12-24T16:17:44.000,200.0,200.0,88.0,66.0,138.0,79.0,19.0
15,aftercook-24,2025-12-24T16:18:44.000,200.0,200.0,88.0,59.0,121.0,70.0,19.0
16,aftercook-24,2025-12-24T16:19:44.000,200.0,200.0,88.0,51.0,100.0,60.0,19.0
17,aftercook-24,2025-12-24T16:20:44.000,200.0,200.0,88.0,47.0,90.0,55.0,19.0
18,aftercook-24,2025-12-24T16:21:44.000,200.0,200.0,88.0,43.0,81.0,50.0,19.0
19,aftercook-24,2025-12-24T16:22:44.000,200.0,200.0,88.0,39.0,69.0,44.0,19.0
20,aftercook-24,2025-12-24T16:23:44.000,200.0,200.0,89.0,35.0,58.0,39.0,19.0
21,aftercook-24,2025-12-24T16:24:44.000,200.0,200.0,89.0,34.0,57.0,38.0,19.0
22,aftercook-24,2025-12-24T16:25:44.000,200.0,200.0,89.0,36.0,61.0,40.0,19.0
23,aftercook-24,2025-12-24T16:26:44.000,200.0,200.0,89.0,35.0,59.0,39.0,18.0
24,aftercook-24,2025-12-24T16:27:44.000,200.0,200.0,89.0,32.0,50.0,35.0,18.0
25,aftercook-24,2025-12-24T16:28:44.000,200.0,200.0,89.0,31.0,48.0,33.0,18.0
26,aftercook-24,2025-12-24T16:29:44.000,200.0,200.0,89.0,26.0,37.0,28.0,18.0
27,aftercook-24,2025-12-24T16:30:44.000,200.0,200.0,89.0,23.0,30.0,25.0,18.0
28,aftercook-24,2025-12-24T16:31:44.000,200.0,200.0,89.0,22.0,28.0,24.0,18.0
29,aftercook-24,2025-12-24T16:32:44.000,200.0,200.0,89.0,21.0,26.0,22.0,18.0
30,aftercook-24,2025-12-24T16:33:44.000,200.0,200.0,89.0,21.0,28.0,23.0,18.0
