,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664,AirBeam3-943cc67b9664
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,fahrenheit,microgram per cubic meter,microgram per cubic meter,microgram per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,precook-22,2025-12-22T13:14:24.000,200.0,200.0,84.0,0.0,0.0,0.0,21.0
2,precook-22,2025-12-22T13:15:24.000,200.0,200.0,84.0,0.0,0.0,0.0,20.0
3,precook-22,2025-12-22T13:16:24.000,200.0,200.0,85.0,0.0,0.0,0.0,20.0
4,precook-22,2025-12-22T13:17:24.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
5,precook-22,2025-12-22T13:18:24.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
6,precook-22,2025-12-22T13:19:24.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
7,precook-22,2025-12-22T13:20:24.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
8,precook-22,2025-12-22T13:21:24.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
9,precook-22,2025-12-22T13:22:24.000,200.0,200.0,85.0,0.0,0.0,0.0,19.0
10,precook-22,2025-12-22T13:23:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
11,precook-22,2025-12-22T13:24:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
12,precook-22,2025-12-22T13:25:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
13,precook-22,2025-12-22T13:26:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
14,precook-22,2025-12-22T13:27:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
15,precook-22,2025-12-22T13:28:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
16,precook-22,2025-12-22T13:29:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
17,precook-22,2025-12-22T13:30:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
18,precook-22,2025-12-22T13:31:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
19,precook-22,2025-12-22T13:32:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
20,precook-22,2025-12-22T13:33:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
21,precook-22,2025-12-22T13:34:24.000,200.0,200.0,86.0,0.0,0.0,0.0,18.0
